id,name,lng,lat
StopArea:OCE80143503,Freiburg (Breisgau) Hbf,7.8416,47.9979
StopArea:OCE82001000,Luxembourg,6.134722,49.599722
StopArea:OCE83002022,BARDONECCHIA,6.709963,45.076449
StopArea:OCE83002048,OULX CESANA CLAVIERE SESTRIERE,6.831431,45.038795
StopArea:OCE83002220,Turin Porta Susa,7.666675,45.074118
StopArea:OCE83002451,VERCELLI,8.416042,45.329904
StopArea:OCE83002485,NOVARA,8.624913,45.451371
StopArea:OCE83016451,MILANO PORTA GARIBALDI,9.187694,45.484916
StopArea:OCE87111849,Marne-la-Vallée Chessy,2.782626,48.869898
StopArea:OCE87113001,Paris Est,2.358424,48.876742
StopArea:OCE87141002,Nancy,6.174579,48.689857
StopArea:OCE87141150,Lunéville,6.496997,48.58799
StopArea:OCE87142109,Lorraine TGV,6.169778,48.947713
StopArea:OCE87144006,Épinal,6.441787,48.178005
StopArea:OCE87144014,Saint-Dié-des-Vosges,6.948516,48.282043
StopArea:OCE87144451,Remiremont,6.598879,48.016342
StopArea:OCE87147322,Meuse TGV,5.271024,48.978583
StopArea:OCE87171009,Reims,4.021994,49.258934
StopArea:OCE87171926,Champagne-Ardenne TGV,3.994523,49.214769
StopArea:OCE87172007,Charleville-Mézières,4.724344,49.76763
StopArea:OCE87172254,Sedan,4.930373,49.695024
StopArea:OCE87172270,Rethel,4.369566,49.504393
StopArea:OCE87174003,Châlons-en-Champagne,4.348656,48.955252
StopArea:OCE87174276,Vitry-le-François,4.587515,48.717913
StopArea:OCE87175042,Bar-le-Duc,5.167053,48.773598
StopArea:OCE87182014,Colmar,7.347756,48.073527
StopArea:OCE87182063,Mulhouse,7.34316,47.742691
StopArea:OCE87191007,Thionville,6.168582,49.353965
StopArea:OCE87192039,Metz,6.177052,49.109466
StopArea:OCE87212027,Strasbourg,7.734793,48.584532
StopArea:OCE87212225,Saverne,7.362055,48.744483
StopArea:OCE87214056,Sélestat,7.443157,48.259824
StopArea:OCE87215012,Sarrebourg,7.05285,48.73808
StopArea:OCE87223263,Lille Europe,3.075721,50.6394
StopArea:OCE87271007,Paris Gare du Nord,2.354851,48.880136
StopArea:OCE87271494,Aéroport Charles de Gaulle 2 TGV,2.570812,49.003618
StopArea:OCE87281006,Dunkerque,2.368991,51.03041
StopArea:OCE87281071,Calais - Fréthun,1.811178,50.901247
StopArea:OCE87286005,Lille Flandres,3.06987,50.636577
StopArea:OCE87286302,Hazebrouck,2.541463,50.724924
StopArea:OCE87286542,Tourcoing,3.168027,50.716826
StopArea:OCE87286716,Croix - Wasquehal,3.138069,50.678528
StopArea:OCE87286732,Roubaix,3.16351,50.695557
StopArea:OCE87300822,Belfort - Montbéliard TGV,6.897984,47.585105
StopArea:OCE87300863,Besançon Franche-Comté TGV,5.953613,47.307215
StopArea:OCE87313882,TGV Haute Picardie,2.831619,49.859172
StopArea:OCE87317057,Rang-du-Fliers - Verton - Berck,1.648048,50.415845
StopArea:OCE87317065,Étaples - Le Touquet,1.642582,50.516544
StopArea:OCE87317263,Calais Ville,1.850885,50.953466
StopArea:OCE87317586,Boulogne sur Mer,1.609714,50.715613
StopArea:OCE87318964,Avignon TGV,4.786136,43.92194
StopArea:OCE87319012,Aix-en-Provence TGV,5.317534,43.455237
StopArea:OCE87324095,Futuroscope,0.377209,46.669918
StopArea:OCE87342006,Béthune,2.640509,50.521454
StopArea:OCE87342014,Arras,2.781314,50.286971
StopArea:OCE87343004,Valenciennes,3.517124,50.363187
StopArea:OCE87345009,Douai,3.089958,50.371673
StopArea:OCE87345025,Lens,2.828301,50.426866
StopArea:OCE87381509,Mantes-la-Jolie,1.70337,48.98984
StopArea:OCE87391003,Paris Montparnasse Hall 1 - 2,2.320514,48.841172
StopArea:OCE87393009,Versailles Chantiers,2.135883,48.795826
StopArea:OCE87393579,Massy Palaiseau RER C,2.257528,48.726421
StopArea:OCE87393702,Massy TGV,2.261254,48.725758
StopArea:OCE87396002,Le Mans,0.192614,47.995615
StopArea:OCE87396408,Sablé-sur-Sarthe,-0.342,47.841759
StopArea:OCE87411017,Rouen Rive Droite,1.094103,49.448663
StopArea:OCE87413013,Le Havre,0.124644,49.492624
StopArea:OCE87471003,Rennes,-1.672744,48.103517
StopArea:OCE87471300,Redon,-2.08777,47.652004
StopArea:OCE87471508,Vitré,-1.211754,48.122671
StopArea:OCE87473009,Saint-Brieuc,-2.765,48.50758
StopArea:OCE87473108,Lamballe,-2.511546,48.46606
StopArea:OCE87473181,Plouaret Trégor,-3.466979,48.606422
StopArea:OCE87473207,Guingamp,-3.143343,48.555659
StopArea:OCE87473223,Lannion,-3.460353,48.727638
